"","tmin","tmax","tmean"
"1988-10",4.1,10.1,5.4
"1988-11",-2.2,3.1,-1.5
"1988-12",-5.9,0,-4.5
"1989-01",-6.1,0.2,-4.3
"1989-02",-6.9,0.2,-4.3
"1989-03",-5.1,2.4,-2.2
"1989-04",0.4,9.2,4.5
"1989-05",5.1,14.4,9.6
"1989-06",10,17.7,12.8
"1989-07",13.8,21.3,16.3
"1989-08",15.3,21.8,16.8
"1989-09",12.4,18.1,13.2
"1989-10",4.2,11.6,6.8
"1989-11",1.1,7.3,2.6
"1989-12",-4.6,1.1,-3.4
"1990-01",-8.4,-2.3,-6.8
"1990-02",-4.7,1.6,-2.9
"1990-03",-4.5,3.1,-1.5
"1990-04",0.2,9,4.3
"1990-05",5.2,15.6,10.7
"1990-06",11.5,20.5,15.5
"1990-07",15.1,22.6,17.6
"1990-08",15.9,24.2,19.1
"1990-09",12.3,19,14.1
"1990-10",5.6,11.7,6.9
"1990-11",2.1,8.7,4
"1990-12",-3.2,2.3,-2.3
"1991-01",-8.1,-3,-7.4
"1991-02",-9.2,-3.4,-7.8
"1991-03",-3.5,2.9,-1.7
"1991-04",0.9,10.8,6
"1991-05",5.3,14.5,9.7
"1991-06",11.7,19.7,14.7
"1991-07",14.8,21.1,16.1
"1991-08",15.5,21.7,16.7
"1991-09",12.6,19,14.1
"1991-10",6.5,12.2,7.4
"1991-11",0.1,5.7,1.1
"1991-12",-3.2,2.6,-2
"1992-01",-6.3,-0.5,-5
"1992-02",-8.3,-1.6,-6.1
"1992-03",-3.1,3.6,-1
"1992-04",0.9,10.2,5.5
"1992-05",4.5,12.8,8
"1992-06",9.3,17.3,12.4
"1992-07",13.7,22.2,17.2
"1992-08",15.5,22.7,17.7
"1992-09",10.1,16.6,11.7
"1992-10",4.8,11.4,6.6
"1992-11",0.4,7.2,2.5
"1992-12",-4.2,1.3,-3.2
"1993-01",-6.8,-1.2,-5.7
"1993-02",-8.1,-1.2,-5.7
"1993-03",-6.7,1.2,-3.3
"1993-04",-0.7,7.1,2.4
"1993-05",4.4,15.6,10.7
"1993-06",9.8,18.9,14
"1993-07",13.4,20.5,15.5
"1993-08",13.9,20.5,15.5
"1993-09",10.1,16.6,11.7
"1993-10",3.8,10.5,5.8
"1993-11",2.5,8.2,3.5
"1993-12",-5.3,1.4,-3.1
"1994-01",-8.8,-2,-6.5
"1994-02",-9.4,-3.1,-7.5
"1994-03",-8.1,0.1,-4.4
"1994-04",0.4,9.8,5.1
"1994-05",5.9,16.3,11.4
"1994-06",10.5,19.3,14.4
"1994-07",16.4,24.8,19.7
"1994-08",16.7,25.6,20.5
"1994-09",12,19.1,14.2
"1994-10",6.7,13.5,8.7
"1994-11",0.8,6.9,2.2
"1994-12",-4.8,1,-3.5
"1995-01",-8.7,-3.2,-7.6
"1995-02",-10.9,-2.6,-7.1
"1995-03",-5.3,2.8,-1.8
"1995-04",-0.4,9.4,4.7
"1995-05",6,15.7,10.8
"1995-06",10,17.7,12.8
"1995-07",14.1,21.9,16.9
"1995-08",15.1,23.8,18.7
"1995-09",9.8,16.9,12
"1995-10",5.6,13.3,8.5
"1995-11",-2.6,4.5,-0.1
"1995-12",-7.5,-1.6,-6.1
"1996-01",-9.5,-2.1,-6.6
"1996-02",-10.1,-2.8,-7.2
"1996-03",-6.3,1.8,-2.8
"1996-04",-2.9,5.8,1.2
"1996-05",3.9,15.1,10.2
"1996-06",9.8,19.7,14.7
"1996-07",13.3,23.1,18.1
"1996-08",14.5,23,18
"1996-09",9.3,16.5,11.6
"1996-10",4.2,12.2,7.4
"1996-11",-0.1,6.4,1.7
"1996-12",-4.5,1.8,-2.8
"1997-01",-8.8,-1.2,-5
"1997-02",-10.8,-1.3,-6.1
"1997-03",-4.5,4.4,-0.1
"1997-04",0.9,9.3,5.1
"1997-05",6.6,16.3,11.5
"1997-06",10.6,19.7,15.1
"1997-07",14.5,21.5,18
"1997-08",15.4,23.1,19.2
"1997-09",11.2,17.2,14.2
"1997-10",3.2,11,7.1
"1997-11",0,7.1,3.5
"1997-12",-4.3,1.9,-1.2
"1998-01",-8,-1.5,-4.8
"1998-02",-7.5,0.8,-3.2
"1998-03",-4.7,3.7,-0.5
"1998-04",4.1,14.1,9.1
"1998-05",8.3,18.9,13.6
